Name,latitude,longitude
Belden Milktea - Padre Noval Street [Available for LONG-DISTANCE DELIVERY],14.607526,120.987775
Khaleb Shawarma - SM Manila Supermarket,14.59033764,120.9837502
"Master Siomai, Siopao & Leche Flan - Sampaloc Manila",14.59888,120.98153
Mariela Bakeshop - Bilibid Viejo Street,14.60067378,120.9872778
Burger Matsing  - Legarda,14.601068,120.991649
The Cake Project - Ongpin Corner [Available for LONG-DISTANCE DELIVERY],14.59996229,120.97492218
JJJG Seafood Grill Station - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590046393749999,120.9833386
Gogodimsum - St. Peter,14.590324,120.982393
Muhlach Ensaymada - Isetann Recto,14.60329675,120.9838466
What the Tea - Amaia Skies [Available for LONG-DISTANCE DELIVERY],14.6051638,120.98095842500001
Chicken Houz - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.6007516,120.9912471
I Love Milktea - Concepcion Manila,14.5976714,120.9881989
Polland Hopia - Escolta [Available for LONG-DISTANCE DELIVERY],14.596918306778491,120.97725604555215
 Fourteasix Milk Tea - Quiapo,14.599221632829494,120.98996811557653
Infinitea - Laperal Apartment,14.600719400000001,120.9903795
Lil' Orbits Mini Donuts - St. Thomas Square,14.60565323,120.9886205
Vita Bella - Quiapo Manila,14.60058021059379,120.98707005822268
AyosBusog Frozen Meals - King Sisig Isetann Recto,14.60320561,120.9846745
Cafe De Soledad - Gastambide St.,14.6034133,120.9900617
Auxsilog & Auxytea - Quiapo,14.597541333052035,120.98880117605506
Takoishi - Binondo,14.598782,120.979038
J&G Milktea Avenue - Trinidad Street,14.601878853098555,120.98229999997614
My Cup - Gonzalo Extension,14.600872,120.9823777
Gotobox - Legarda[Available for LONG-DISTANCE DELIVERY],14.6010151,120.99158
Yoshimeatsu - UST U-Belt,14.605315,120.988731
Sisig Ok - Recto Manila,14.60080873,120.9898487
Pizza Haus Manila - Recto Avenue,14.60118366875,120.9896951
Diversitea - Loyola Street,14.6042256,120.9895675
The Coffee Bean & Tea Leaf - Laperal Apartments,14.60087365,120.9900855
Tea Manila - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.60158156,120.9914059
June-Nairah Halal Food Restaurant - Elizondo Street,14.5966277,120.9846892
Oppa's Corndog Style - Victory Lacson Quiapo,14.598087,120.983821
Angel's Sizzling - Delos Santos Street [Available for LONG-DISTANCE DELIVERY],14.6033922,120.9907382
Sisig Station - St Thomas Square,14.6057051,120.98865640000001
Pares Kimchi - Mehan Garden,14.59250242,120.98095179
Chawadi Cup - Ongpin [Available for LONG-DISTANCE DELIVERY],14.601409,120.97642956
Baon Fish - Manila,14.60653725,120.9884474
Big Daddy's Cup - JT Centrale,14.6076433,120.9837719
Chicky Restaurant - Binondo,14.60207581,120.9760154
Shancha Fresh Juice & Milktea - Benavidez Street,14.60207581,120.9760154
Chang Thai Tea - Sampaloc,14.6075075,120.9866534
It's Time Unliwings - Sampaloc,14.6050463,120.9910088
Asiamix Diner - P. Noval Street,14.6064256358,120.98962554147671
Travel Burger Cafe - Sampaloc,14.6079964,120.98613595
Toribox - Tower Manila,14.607301,120.988807
Perico's Grill - Mendiola,14.598426525,120.99358269999999
The Tapsishop - Sampaloc Manila,14.608459,120.986133
Goo Dee Taiwan Milk Tea - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.60183,120.99336
Soy Yummy - SM Manila,14.590321607913634,120.98365469602732
"Max's Corner Bakery (Cakes, Breads & Pastries) - SM Manila [Available for LONG-DISTANCE DELIVERY]",14.59030917,120.9837155
Buko Express - SM Manila [Available for LONG-DISTANCE DELIVERY],14.59034416,120.9830165
Taters - SM Manila,14.59033507,120.9830731
Monster Wings - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590311915609103,120.98277362854529
The Brewed Buddies - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590258468592637,120.98297489814934
Coffee Plus - Metro Suites Building,14.6082067,120.98763833333332
Chops To Go - SM Manila,14.59029533,120.9822236
Mister Lemon - Ermita,14.59028132,120.9822551
Four in Love BBQ and Hotpot Buffet - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5900524,120.9836581
Chik'N Tea - Torre Central [Available for LONG-DISTANCE DELIVERY],14.6067717,120.9905022
